month,rows,total_amount,tip_amount
2002-12,3,45.72,7.62
2008-12,2,125.13,19.54
2009-01,2,36.10,4.00
2023-12,10,224.62,26.27
2024-01,499998,13904156.17,1687136.57
2024-02,500007,13140418.33,1694400.64
2024-03,499985,13500803.60,1732222.58
2024-04,500008,14102847.93,1784890.72
2024-05,500029,13896776.35,1772723.50
2024-06,499973,14293501.26,1827056.32
2024-07,500002,14213226.79,1677982.84
2024-08,500013,14108064.17,1731342.94
2024-09,499980,15027180.93,1876831.39
2024-10,500021,13954318.29,1784727.24
2024-11,499993,13966404.01,1732953.40
2024-12,499974,15026910.61,1958151.89
